user_id,student_type,monthly_income,fixed_expenses,variable_expenses,total_expenses,savings_rate,debt_to_income,emergency_fund,emergency_fund_months,spending_volatility,budget_category,recommended_needs_pct,recommended_wants_pct,recommended_savings_pct,recommended_needs,recommended_wants,recommended_savings
user_0001,working_family_support,2620.92,791.8,800.02,1591.82,0.3926,0.0496,1432.64,0.9,0.2071,low_emergency,0.5,0.25,0.25,1310.46,655.23,655.23
user_0002,working_family_support,1935.64,744.72,713.37,1458.09,0.2467,0.112,145.81,0.1,0.1453,low_emergency,0.5,0.25,0.25,967.82,483.91,483.91
user_0003,working_no_family,1257.16,981.9,728.66,1710.56,-0.3607,0.1164,2052.67,1.2,0.4432,low_savings,0.5,0.35,0.15,628.58,440.01,188.57
user_0004,working_family_support,2272.86,1015.82,658.87,1674.69,0.2632,0.2025,3516.85,2.1,0.3549,standard,0.5,0.3,0.2,1136.43,681.86,454.57
user_0005,working_no_family,1526.42,1082.31,648.86,1731.17,-0.1341,0.0,2250.52,1.3,0.2092,low_savings,0.5,0.35,0.15,763.21,534.25,228.96
user_0006,working_no_family,876.82,824.88,720.31,1545.19,-0.7623,0.0,2008.75,1.3,0.3277,low_savings,0.5,0.35,0.15,438.41,306.89,131.52
user_0007,working_family_support,2512.73,1044.41,714.87,1759.28,0.2999,0.1734,0.0,0.0,0.4008,low_emergency,0.5,0.25,0.25,1256.37,628.18,628.18
user_0008,working_no_family,1350.28,963.26,640.78,1604.04,-0.1879,0.0,0.0,0.0,0.1294,low_savings,0.5,0.35,0.15,675.14,472.6,202.54
user_0009,family_support_only,2954.66,1149.17,565.72,1714.89,0.4196,0.1402,1200.42,0.7,0.453,low_emergency,0.5,0.25,0.25,1477.33,738.66,738.66
user_0010,working_family_support,2115.16,925.1,596.68,1521.78,0.2805,0.0206,4565.34,3.0,0.5801,standard,0.5,0.3,0.2,1057.58,634.55,423.03
user_0011,family_support_only,2274.3,1181.63,979.79,2161.42,0.0496,0.0176,5187.41,2.4,0.1871,low_savings,0.5,0.35,0.15,1137.15,796.0,341.15
user_0012,working_family_support,1879.98,783.25,746.15,1529.4,0.1865,0.0,3670.56,2.4,0.2643,standard,0.5,0.3,0.2,939.99,563.99,376.0
user_0013,working_no_family,1918.41,1114.5,881.2,1995.7,-0.0403,0.0267,1596.56,0.8,0.4229,low_savings,0.5,0.35,0.15,959.21,671.44,287.76
user_0014,working_no_family,2093.76,1257.13,880.04,2137.17,-0.0207,0.2807,0.0,0.0,0.4444,low_savings,0.5,0.35,0.15,1046.88,732.82,314.06
user_0015,working_family_support,1900.07,1276.34,913.55,2189.89,-0.1525,0.066,2627.87,1.2,0.3935,low_savings,0.5,0.35,0.15,950.03,665.02,285.01
user_0016,financial_aid_mainly,910.21,882.53,634.78,1517.31,-0.667,0.1151,0.0,0.0,0.1011,low_savings,0.5,0.35,0.15,455.11,318.57,136.53
user_0017,family_support_only,2994.89,1544.74,681.22,2225.96,0.2567,0.0379,4006.73,1.8,0.162,standard,0.5,0.3,0.2,1497.44,898.47,598.98
user_0018,family_support_only,2545.91,843.57,824.24,1667.81,0.3449,0.1078,2668.5,1.6,0.7851,standard,0.5,0.3,0.2,1272.95,763.77,509.18
