user_id,student_type,monthly_income,fixed_expenses,variable_expenses,total_expenses,savings_rate,debt_to_income,emergency_fund,emergency_fund_months,spending_volatility,budget_category,recommended_needs_pct,recommended_wants_pct,recommended_savings_pct,recommended_needs,recommended_wants,recommended_savings
user_0001,working_family_support,2620.92,791.8,800.02,1591.82,0.3926,0.127,1591.82,1.0,0.6457,standard,0.5,0.3,0.2,1310.46,786.28,524.18
user_0002,working_no_family,1420.41,1332.32,713.37,2045.69,-0.4402,0.1356,0.0,0.0,0.2495,low_savings,0.5,0.35,0.15,710.21,497.14,213.06
user_0003,working_family_support,1668.99,1051.67,873.96,1925.63,-0.1538,0.0855,3273.57,1.7,0.4432,low_savings,0.5,0.35,0.15,834.5,584.15,250.35
user_0004,working_no_family,1458.58,973.34,868.27,1841.61,-0.2626,0.0501,3130.74,1.7,0.0575,low_savings,0.5,0.35,0.15,729.29,510.5,218.79
user_0005,financial_aid_mainly,1036.5,1067.82,939.65,2007.47,-0.9368,0.0784,0.0,0.0,0.0655,low_savings,0.5,0.35,0.15,518.25,362.77,155.47
user_0006,financial_aid_mainly,949.98,980.76,707.78,1688.54,-0.7774,0.0,675.42,0.4,0.2375,low_savings,0.5,0.35,0.15,474.99,332.49,142.5
user_0007,working_family_support,2444.66,737.03,805.67,1542.7,0.369,0.0,2776.86,1.8,0.2989,standard,0.5,0.3,0.2,1222.33,733.4,488.93
user_0008,working_no_family,1074.8,724.06,726.79,1450.85,-0.3499,0.0549,1741.02,1.2,0.3755,low_savings,0.5,0.35,0.15,537.4,376.18,161.22
user_0009,working_no_family,1447.16,1189.4,1054.56,2243.96,-0.5506,0.0,2243.96,1.0,0.3932,low_savings,0.5,0.35,0.15,723.58,506.51,217.07
user_0010,working_no_family,1616.43,1197.36,776.34,1973.7,-0.221,0.1881,2763.18,1.4,0.262,low_savings,0.5,0.35,0.15,808.22,565.75,242.46
user_0011,financial_aid_mainly,1386.95,1223.41,824.66,2048.07,-0.4767,0.0,0.0,0.0,0.5015,low_savings,0.5,0.35,0.15,693.48,485.43,208.04
user_0012,working_family_support,2061.65,1425.57,530.76,1956.33,0.0511,0.0,4695.19,2.4,0.2709,low_savings,0.5,0.35,0.15,1030.83,721.58,309.25
user_0013,financial_aid_mainly,993.81,1401.39,716.98,2118.37,-1.1316,0.1469,3601.23,1.7,0.5178,low_savings,0.5,0.35,0.15,496.9,347.83,149.07
user_0014,working_family_support,1584.57,764.82,869.5,1634.32,-0.0314,0.0721,653.73,0.4,0.1922,low_savings,0.5,0.35,0.15,792.28,554.6,237.69
user_0015,family_support_only,3217.35,1289.84,1164.22,2454.06,0.2372,0.1044,4662.71,1.9,0.1701,standard,0.5,0.3,0.2,1608.67,965.2,643.47
user_0016,working_no_family,1244.91,742.38,712.59,1454.97,-0.1687,0.0,0.0,0.0,0.4954,low_savings,0.5,0.35,0.15,622.46,435.72,186.74
user_0017,family_support_only,2290.82,930.1,945.84,1875.94,0.1811,0.0222,2438.72,1.3,0.1397,standard,0.5,0.3,0.2,1145.41,687.25,458.16
user_0018,family_support_only,3287.71,1400.47,770.31,2170.78,0.3397,0.0106,1953.7,0.9,0.2862,low_emergency,0.5,0.25,0.25,1643.86,821.93,821.93
user_0019,financial_aid_mainly,857.13,737.38,611.77,1349.15,-0.574,0.1272,134.92,0.1,0.4145,low_savings,0.5,0.35,0.15,428.56,300.0,128.57
user_0020,working_no_family,1933.94,1498.41,659.7,2158.11,-0.1159,0.0198,2589.73,1.2,0.1467,low_savings,0.5,0.35,0.15,966.97,676.88,290.09
user_0021,family_support_only,2806.97,989.58,820.8,1810.38,0.355,0.0452,5250.1,2.9,0.2913,standard,0.5,0.3,0.2,1403.48,842.09,561.39
user_0022,working_family_support,2630.68,1507.26,741.75,2249.01,0.1451,0.0872,4048.22,1.8,0.1388,low_savings,0.5,0.35,0.15,1315.34,920.74,394.6
user_0023,working_family_support,1810.01,1375.62,685.42,2061.04,-0.1387,0.0,3091.56,1.5,0.2174,low_savings,0.5,0.35,0.15,905.0,633.5,271.5
user_0024,financial_aid_mainly,773.09,978.53,812.64,1791.17,-1.3169,0.4569,2686.76,1.5,0.2228,low_savings,0.5,0.35,0.15,386.55,270.58,115.96
user_0025,family_support_only,2416.78,1001.49,602.11,1603.6,0.3365,0.0,4329.72,2.7,0.2485,standard,0.5,0.3,0.2,1208.39,725.03,483.36
user_0026,working_family_support,1884.15,1012.13,845.44,1857.57,0.0141,0.1719,1300.3,0.7,0.6376,low_savings,0.5,0.35,0.15,942.08,659.45,282.62
user_0027,financial_aid_mainly,887.18,1057.85,848.93,1906.78,-1.1493,0.6126,1144.07,0.6,0.0491,high_debt,0.5,0.15,0.35,443.59,133.08,310.51
user_0028,family_support_only,1948.17,1269.37,925.27,2194.64,-0.1265,0.0762,5267.14,2.4,0.1584,low_savings,0.5,0.35,0.15,974.09,681.86,292.23
user_0029,working_family_support,1550.24,1476.92,666.9,2143.82,-0.3829,0.0663,4502.02,2.1,0.5551,low_savings,0.5,0.35,0.15,775.12,542.58,232.54
user_0030,financial_aid_mainly,866.37,1192.25,864.61,2056.86,-1.3741,0.4914,1234.12,0.6,0.2818,low_savings,0.5,0.35,0.15,433.19,303.23,129.96
user_0031,working_family_support,1940.64,1048.9,942.1,1991.0,-0.026,0.0728,0.0,0.0,0.3002,low_savings,0.5,0.35,0.15,970.32,679.22,291.1
user_0032,working_no_family,1490.13,1104.4,783.1,1887.5,-0.2667,0.0,377.5,0.2,0.5863,low_savings,0.5,0.35,0.15,745.07,521.55,223.52
user_0033,working_no_family,921.25,816.57,671.54,1488.11,-0.6153,0.0377,2083.35,1.4,0.4813,low_savings,0.5,0.35,0.15,460.62,322.44,138.19
user_0034,family_support_only,2639.13,1019.84,590.57,1610.41,0.3898,0.0438,0.0,0.0,0.2169,low_emergency,0.5,0.25,0.25,1319.57,659.78,659.78
user_0035,financial_aid_mainly,880.48,834.2,562.04,1396.24,-0.5858,0.0,837.74,0.6,0.1757,low_savings,0.5,0.35,0.15,440.24,308.17,132.07
user_0036,family_support_only,2629.03,824.02,794.19,1618.21,0.3845,0.0,2427.32,1.5,0.3536,standard,0.5,0.3,0.2,1314.52,788.71,525.81
user_0037,family_support_only,1799.86,988.33,883.87,1872.2,-0.0402,0.3433,3557.18,1.9,0.2443,low_savings,0.5,0.35,0.15,899.93,629.95,269.98
user_0038,working_family_support,1738.67,1115.81,405.78,1521.59,0.1249,0.054,2130.23,1.4,0.1629,low_savings,0.5,0.35,0.15,869.34,608.53,260.8
user_0039,working_family_support,2491.28,976.27,768.64,1744.91,0.2996,0.0477,1570.42,0.9,0.4337,low_emergency,0.5,0.25,0.25,1245.64,622.82,622.82
user_0040,financial_aid_mainly,615.62,1234.4,926.24,2160.64,-2.5097,0.0,648.19,0.3,0.555,low_savings,0.5,0.35,0.15,307.81,215.47,92.34
user_0041,family_support_only,3011.18,1342.07,718.54,2060.61,0.3157,0.0347,7006.07,3.4,0.3777,standard,0.5,0.3,0.2,1505.59,903.35,602.24
user_0042,financial_aid_mainly,1009.99,943.9,666.23,1610.13,-0.5942,0.4423,805.07,0.5,0.3744,low_savings,0.5,0.35,0.15,505.0,353.5,151.5
user_0043,working_family_support,2414.3,1145.22,756.04,1901.26,0.2125,0.0588,7795.17,4.1,0.4643,standard,0.5,0.3,0.2,1207.15,724.29,482.86
user_0044,working_family_support,2010.5,1519.25,753.66,2272.91,-0.1305,0.0699,3636.66,1.6,0.5274,low_savings,0.5,0.35,0.15,1005.25,703.67,301.57
user_0045,working_family_support,1540.38,1058.88,887.75,1946.63,-0.2637,0.271,1362.64,0.7,0.1492,low_savings,0.5,0.35,0.15,770.19,539.13,231.06
user_0046,working_family_support,1929.84,1369.34,1091.76,2461.1,-0.2753,0.0714,3937.76,1.6,0.2842,low_savings,0.5,0.35,0.15,964.92,675.44,289.48
user_0047,working_family_support,1671.48,1409.85,515.88,1925.73,-0.1521,0.0447,4429.18,2.3,0.0761,low_savings,0.5,0.35,0.15,835.74,585.02,250.72
user_0048,working_family_support,1657.03,1341.11,499.35,1840.46,-0.1107,0.0,4049.01,2.2,0.3125,low_savings,0.5,0.35,0.15,828.51,579.96,248.55
user_0049,working_family_support,1812.8,1186.12,523.79,1709.91,0.0568,0.3375,4616.76,2.7,0.0358,low_savings,0.5,0.35,0.15,906.4,634.48,271.92
user_0050,working_no_family,1360.34,1092.48,1021.78,2114.26,-0.5542,0.1089,3171.39,1.5,0.119,low_savings,0.5,0.35,0.15,680.17,476.12,204.05
user_0051,working_family_support,1829.06,1176.99,553.17,1730.16,0.0541,0.0,5363.5,3.1,0.7016,low_savings,0.5,0.35,0.15,914.53,640.17,274.36
user_0052,working_no_family,925.41,765.58,518.88,1284.46,-0.388,0.0,513.78,0.4,0.2591,low_savings,0.5,0.35,0.15,462.7,323.89,138.81
user_0053,financial_aid_mainly,730.23,1292.0,734.69,2026.69,-1.7754,0.1757,1621.35,0.8,0.4598,low_savings,0.5,0.35,0.15,365.12,255.58,109.53
user_0054,family_support_only,1823.5,705.74,1008.1,1713.84,0.0601,0.062,3770.45,2.2,0.184,low_savings,0.5,0.35,0.15,911.75,638.22,273.52
user_0055,working_no_family,2160.93,1294.93,902.19,2197.12,-0.0167,0.0618,1318.27,0.6,0.418,low_savings,0.5,0.35,0.15,1080.46,756.33,324.14
user_0056,working_family_support,1431.14,946.52,1006.65,1953.17,-0.3648,0.0,3320.39,1.7,0.0878,low_savings,0.5,0.35,0.15,715.57,500.9,214.67
user_0057,family_support_only,1675.64,1338.81,756.97,2095.78,-0.2507,0.3168,2724.51,1.3,0.5964,low_savings,0.5,0.35,0.15,837.82,586.47,251.35
user_0058,working_no_family,1262.78,1212.33,731.42,1943.75,-0.5393,0.114,2332.5,1.2,0.468,low_savings,0.5,0.35,0.15,631.39,441.97,189.42
user_0059,family_support_only,2387.66,1114.01,769.22,1883.23,0.2113,0.0995,7721.24,4.1,0.1922,standard,0.5,0.3,0.2,1193.83,716.3,477.53
user_0060,financial_aid_mainly,910.18,988.69,764.94,1753.63,-0.9267,0.0,350.73,0.2,0.4577,low_savings,0.5,0.35,0.15,455.09,318.56,136.53
user_0061,working_no_family,1339.79,1520.32,948.94,2469.26,-0.843,0.0463,3210.04,1.3,0.3075,low_savings,0.5,0.35,0.15,669.89,468.93,200.97
user_0062,working_no_family,1934.75,1225.59,940.7,2166.29,-0.1197,0.1609,4332.58,2.0,0.1549,low_savings,0.5,0.35,0.15,967.38,677.16,290.21
user_0063,working_family_support,1594.41,1248.5,971.78,2220.28,-0.3925,0.5858,3774.48,1.7,0.2876,high_debt,0.5,0.15,0.35,797.21,239.16,558.04
user_0064,working_no_family,1471.03,791.09,959.31,1750.4,-0.1899,0.0822,1575.36,0.9,0.0699,low_savings,0.5,0.35,0.15,735.51,514.86,220.65
user_0065,family_support_only,3207.91,1575.77,926.8,2502.57,0.2199,0.0255,10010.28,4.0,0.2272,standard,0.5,0.3,0.2,1603.95,962.37,641.58
user_0066,working_family_support,2481.61,987.41,897.55,1884.96,0.2404,0.0211,3392.93,1.8,0.3201,standard,0.5,0.3,0.2,1240.81,744.48,496.32
user_0067,working_family_support,1472.99,1240.48,750.89,1991.37,-0.3519,0.0,1393.96,0.7,0.4153,low_savings,0.5,0.35,0.15,736.5,515.55,220.95
